CNN,Street_Name,PCI_Score,From_Street,To_Street,PCI_Change_Date,Treatment_or_Survey,Street_Accepted_For_Maintenance,Functional_Class
22376000,Teresita Blvd: Reposa Way Intersection,100,TERESITA BLVD,Intersection,2016-06-27T09:33:43.000,Treatment,No,
25682000,Dolores St: Cumberland St Intersection,100,DOLORES ST,Intersection,2016-06-10T11:28:10.000,Treatment,No,
54119000,Towerside Ave: Schwerin St Intersection,100,TOWERSIDE AVE,Intersection,2016-02-19T13:57:58.000,Treatment,No,
27095000,Quintara St: 12th Ave Intersection,100,QUINTARA ST,Intersection,2016-02-08T11:52:33.000,Treatment,No,
25905000,Lily St: Gough St Intersection,100,LILY ST,Intersection,2016-04-04T08:29:56.000,Treatment,No,
27295000,Anza St: 10th Ave Intersection,100,ANZA ST,Intersection,2016-11-04T08:07:13.000,Treatment,No,
27287000,Clement St: 07th Ave Intersection,100,CLEMENT ST,Intersection,2016-11-15T16:36:16.000,Treatment,No,
25919000,Ivy St: Gough St Intersection,100,IVY ST,Intersection,2016-03-22T11:47:08.000,Treatment,No,
22091000,Mount Vernon Ave: Cayuga Ave Intersection,100,MOUNT VERNON AVE,Intersection,2016-03-28T09:30:15.000,Treatment,No,
21231000,Crescent Ave: Agnon Ave Intersection,100,CRESCENT AVE,Intersection,2016-02-05T11:30:21.000,Treatment,No,
20390000,Visitacion Ave: Loehr St Intersection,100,VISITACION AVE,Intersection,2016-04-08T09:52:23.000,Treatment,No,
27306000,Clement St: 12th Ave Intersection,100,CLEMENT ST,Intersection,2016-11-15T16:36:16.000,Treatment,No,
22290000,Teresita Blvd: Melrose Ave Intersection,100,TERESITA BLVD,Intersection,2016-06-27T09:33:30.000,Treatment,No,
27506000,Clement St: 19th Ave Intersection,100,CLEMENT ST,Intersection,2016-11-15T16:36:16.000,Treatment,No,
22407000,Teresita Blvd: Sequoia Way Intersection,100,TERESITA BLVD,Intersection,2016-06-27T09:34:37.000,Treatment,No,
21715000,Persia Ave: Edinburgh St Intersection,100,PERSIA AVE,Intersection,2016-03-16T08:09:22.000,Treatment,No,
22294000,Teresita Blvd: Los Palmos Dr Intersection,100,TERESITA BLVD,Intersection,2016-06-27T09:31:31.000,Treatment,No,
20378000,Visitacion Ave: Rey St Intersection,100,VISITACION AVE,Intersection,2016-02-17T19:52:54.000,Treatment,No,
22300000,Teresita Blvd: Bella Vista Way Intersection,100,TERESITA BLVD,Intersection,2016-06-27T09:09:50.000,Treatment,No,
22411000,Teresita Blvd: Evelyn Way Intersection,100,TERESITA BLVD,Intersection,2016-06-27T09:18:42.000,Treatment,No,
21646000,Naples St: Avalon Ave Intersection,100,NAPLES ST,Intersection,2016-07-12T14:59:26.000,Treatment,No,
22293000,Teresita Blvd: Stillings Ave Intersection,100,TERESITA BLVD,Intersection,2016-06-27T09:34:59.000,Treatment,No,
25865000,Market St: Dolores St Intersection,100,MARKET ST,Intersection,2016-06-10T11:35:15.000,Treatment,No,
26183000,Iron Aly: Corbett Ave Intersection,100,IRON ALY,Intersection,2016-07-21T07:36:04.000,Treatment,No,
21203000,Porter St: Crescent Ave Intersection,100,PORTER ST,Intersection,2016-02-03T14:25:36.000,Treatment,No,
26508000,Gough St: California St Intersection,100,GOUGH ST,Intersection,2016-03-04T11:54:22.000,Treatment,No,
33435000,Bright St: Alemany Blvd Intersection,100,BRIGHT ST,Intersection,2016-11-09T16:17:49.000,Treatment,No,
22296000,Teresita Blvd: Marietta Dr \ Molimo Dr Intersection,100,MOLIMO DR \ TERESITA BLVD,Intersection,2016-06-27T09:31:59.000,Treatment,No,
27117000,Quintara St: 14th Ave Intersection,100,QUINTARA ST,Intersection,2016-04-18T14:44:02.000,Treatment,No,
21421000,Seville St: Naples St Intersection,100,SEVILLE ST,Intersection,2016-08-22T14:44:50.000,Treatment,No,
26543000,Gough St: Clay St Intersection,100,GOUGH ST,Intersection,2016-03-04T11:53:28.000,Treatment,No,
27303000,Clement St: 10th Ave Intersection,100,CLEMENT ST,Intersection,2016-11-15T16:36:16.000,Treatment,No,
20371000,Sunnydale Ave: Schwerin St Intersection,100,SUNNYDALE AVE,Intersection,2016-02-19T13:57:58.000,Treatment,No,
25941000,Mcallister St: Gough St Intersection,100,MCALLISTER ST,Intersection,2016-03-18T16:32:35.000,Treatment,No,
22364000,Teresita Blvd: Gaviota Way Intersection,100,TERESITA BLVD,Intersection,2016-06-27T09:28:58.000,Treatment,No,
9497201,NAPLES ST,100,GENEVA AVE,ROLPH ST,2016-08-22T14:46:22.000,Treatment,Yes,
20344000,Visitacion Ave: Peabody St Intersection,100,VISITACION AVE,Intersection,2016-04-08T09:52:23.000,Treatment,No,
21608000,Persia Ave: Dublin St Intersection,100,PERSIA AVE,Intersection,2016-03-10T15:34:45.000,Treatment,No,
21394000,Naylor St: Munich St Intersection,100,NAYLOR ST,Intersection,2016-07-12T15:06:31.000,Treatment,No,
25684000,Dolores St: 18th St Intersection,100,DOLORES ST,Intersection,2016-05-09T12:34:01.000,Treatment,No,
21180000,Ellsworth St: Crescent Ave Intersection,100,ELLSWORTH ST,Intersection,2016-02-03T14:15:54.000,Treatment,No,
26122000,Dixie Aly: Corbett Ave Intersection,100,DIXIE ALY,Intersection,2016-07-21T07:33:25.000,Treatment,No,
22950000,Ulloa St: Forest Side Ave Intersection,100,ULLOA ST,Intersection,2016-05-13T12:19:51.000,Treatment,No,
33017000,Teresita Blvd: Lassen Aly Intersection,100,TERESITA BLVD,Intersection,2016-06-27T09:31:17.000,Treatment,No,
11497000,San Marcos Ave,100,End,End,2016-10-27T09:23:48.000,Treatment,No,
27507000,Clement St: 20th Ave Intersection,100,CLEMENT ST,Intersection,2016-11-15T16:36:16.000,Treatment,No,
22953000,Vicente St: 15th Ave Intersection,100,VICENTE ST,Intersection,2016-05-13T12:19:51.000,Treatment,No,
22209000,Lee Ave: Grafton Ave Intersection,100,LEE AVE,Intersection,2016-10-26T12:41:51.000,Treatment,No,
22595000,Grafton Ave: Faxon Ave Intersection,100,GRAFTON AVE,Intersection,2016-10-26T12:47:19.000,Treatment,No,
27296000,Anza St: 11th Ave Intersection,100,ANZA ST,Intersection,2016-11-04T08:06:57.000,Treatment,No,
21626000,Prague St: Persia Ave Intersection,100,PRAGUE ST,Intersection,2016-03-10T15:34:46.000,Treatment,No,
21643000,Naples St: Brazil Ave Intersection,100,NAPLES ST,Intersection,2016-07-12T15:02:09.000,Treatment,No,
21618000,Munich St: Brazil Ave Intersection,100,MUNICH ST,Intersection,2016-07-12T15:03:53.000,Treatment,No,
3276099,DELANCEY ST,60,BAYSIDE VILLAGE PL,END,1997-09-09T00:00:00.000,Survey,No,
22945000,Wawona St: Vicente St Intersection,100,WAWONA ST,Intersection,2016-05-13T12:19:51.000,Treatment,No,
3276098,DELANCEY ST,60,BEALE ST \ BRYANT ST,BAYSIDE VILLAGE PL,1997-09-09T00:00:00.000,Survey,No,
27574000,Clay St: Arguello Blvd Intersection,100,CLAY ST,Intersection,2016-10-24T14:33:14.000,Treatment,No,
20345000,Visitacion Ave: Talbert Ct \ Talbert St Intersection,100,TALBERT ST \ VISITACION AVE,Intersection,2016-04-08T09:52:23.000,Treatment,No,
26490000,Gough St: Eddy St Intersection,100,GOUGH ST,Intersection,2016-03-18T16:24:46.000,Treatment,No,
22308000,Teresita Blvd: Arroyo Way Intersection,100,TERESITA BLVD,Intersection,2016-06-27T09:05:20.000,Treatment,No,
33000000,Del Sur Ave: Chaves Ave Intersection,100,DEL SUR AVE,Intersection,2016-06-27T09:12:07.000,Treatment,No,
21181000,Crescent Ave: Anderson St Intersection,100,CRESCENT AVE,Intersection,2016-02-05T11:18:48.000,Treatment,No,
21632000,Persia Ave: Athens St Intersection,100,PERSIA AVE,Intersection,2016-03-16T08:08:23.000,Treatment,No,
21902000,Dolores St: 26th St Intersection,100,DOLORES ST,Intersection,2016-05-09T12:30:04.000,Treatment,No,
22352000,Teresita Blvd: Foerster St Intersection,100,TERESITA BLVD,Intersection,2016-06-27T09:19:09.000,Treatment,No,
22295000,Teresita Blvd: Foerster St Intersection,100,TERESITA BLVD,Intersection,2016-06-27T09:28:15.000,Treatment,No,
21420000,Munich St: Drake St Intersection,100,MUNICH ST,Intersection,2016-07-12T15:06:31.000,Treatment,No,
21664000,Silver Ave: Naples St Intersection,100,SILVER AVE,Intersection,2016-07-12T14:59:26.000,Treatment,No,
24407000,Stevenson St: Gough St Intersection,100,STEVENSON ST,Intersection,2016-04-04T09:39:09.000,Treatment,No,
22946000,Vicente St: Madrone Ave Intersection,100,VICENTE ST,Intersection,2016-05-13T12:19:51.000,Treatment,No,
11496201,SAN MARCOS AVE,100,UNNAMED 031 \ UNNAMED 032,END,2016-10-27T09:23:48.000,Treatment,Yes,
21724000,Persia Ave: Paris St Intersection,100,PERSIA AVE,Intersection,2016-03-18T08:19:52.000,Treatment,No,
27250000,Clement St: 04th Ave Intersection,100,CLEMENT ST,Intersection,2016-11-15T16:36:16.000,Treatment,No,
21412000,Naples St: Amazon Ave Intersection,100,NAPLES ST,Intersection,2016-08-22T14:42:43.000,Treatment,No,
22459000,Sagamore St: Capitol Ave Intersection,100,SAGAMORE ST,Intersection,2016-10-27T12:21:41.000,Treatment,No,
21981000,Mangels Ave: Baden St Intersection,100,MANGELS AVE,Intersection,,Treatment,No,
21197000,Crescent Ave: Bache St Intersection,100,CRESCENT AVE,Intersection,2016-02-05T11:37:44.000,Treatment,No,
33437000,Sagamore St: End Intersection,100,END,Intersection,2016-11-09T16:17:49.000,Treatment,No,
27305000,Clement St: 11th Ave Intersection,100,CLEMENT ST,Intersection,2016-11-15T16:36:16.000,Treatment,No,
20316000,Visitacion Ave: Desmond St Intersection,100,VISITACION AVE,Intersection,2016-04-08T09:52:23.000,Treatment,No,
11496101,SAN MARCOS AVE,100,END,END,2016-10-27T09:23:48.000,Treatment,Yes,
25679000,Dolores St: 20th St Intersection,100,DOLORES ST,Intersection,2016-06-10T11:25:59.000,Treatment,No,
33577000,Unnamed 032: San Marcos Ave \ Unnamed 031 Intersection,100,UNNAMED 031 \ UNNAMED 032,Intersection,2016-10-27T09:23:48.000,Treatment,No,
21428000,Rolph St: Naples St Intersection,100,ROLPH ST,Intersection,2016-08-22T14:46:22.000,Treatment,No,
22582000,Grafton Ave: Capitol Ave Intersection,100,GRAFTON AVE,Intersection,2016-10-26T12:47:19.000,Treatment,No,
24147000,San Carlos St: 21st St Intersection,100,SAN CARLOS ST,Intersection,2016-06-21T08:57:47.000,Treatment,No,
22092000,Shawnee Ave: Cayuga Ave Intersection,100,SHAWNEE AVE,Intersection,2016-03-28T09:30:15.000,Treatment,No,
26492000,Gough St: Ellis St Intersection,100,GOUGH ST,Intersection,2016-03-18T16:24:46.000,Treatment,No,
27290000,Clement St: 08th Ave Intersection,100,CLEMENT ST,Intersection,2016-11-15T16:36:16.000,Treatment,No,
21392000,Rolph St: Munich St Intersection,100,ROLPH ST,Intersection,2016-07-12T15:06:31.000,Treatment,No,
22457000,Sagamore St: Plymouth Ave Intersection,100,SAGAMORE ST,Intersection,2016-10-27T12:21:41.000,Treatment,No,
22469000,Sagamore St: Orizaba Ave Intersection,100,SAGAMORE ST,Intersection,2016-11-09T16:17:49.000,Treatment,No,
26117000,Hopkins Ave: Argent Aly \ Corbett Ave Intersection,100,CORBETT AVE \ HOPKINS AVE,Intersection,2016-07-21T07:33:25.000,Treatment,No,
25906000,Oak St: Gough St Intersection,100,OAK ST,Intersection,2016-04-04T08:29:56.000,Treatment,No,
22211000,Grafton Ave: Brighton Ave Intersection,100,GRAFTON AVE,Intersection,2016-10-26T12:41:51.000,Treatment,No,
20087000,Hudson Ave: Bertha Ln Intersection,100,HUDSON AVE,Intersection,2016-02-05T19:30:03.000,Treatment,No,
21411000,Naples St: Italy Ave Intersection,100,NAPLES ST,Intersection,2016-08-22T14:42:43.000,Treatment,No,
25703000,Dolores St: 17th St Intersection,100,DOLORES ST,Intersection,2016-06-10T11:25:03.000,Treatment,No,
26112000,Golding Ln: Corbett Ave Intersection,100,GOLDING LN,Intersection,2016-07-21T07:33:25.000,Treatment,No,
27503000,Clement St: 18th Ave Intersection,100,CLEMENT ST,Intersection,2016-11-15T16:36:16.000,Treatment,No,
26107000,Romain St: Corbett Ave Intersection,100,ROMAIN ST,Intersection,2016-07-21T07:36:05.000,Treatment,No,
27595000,Lake St: 05th Ave Intersection,100,LAKE ST,Intersection,2016-08-11T14:28:10.000,Treatment,No,
22408000,Teresita Blvd: Isola Way Intersection,100,TERESITA BLVD,Intersection,2016-06-27T09:30:44.000,Treatment,No,
25939000,Grove St: Gough St Intersection,100,GROVE ST,Intersection,2016-03-22T11:47:08.000,Treatment,No,
25940000,Gough St: Fulton St Intersection,100,GOUGH ST,Intersection,2016-03-22T11:47:07.000,Treatment,No,
21627000,Persia Ave: Munich St Intersection,100,PERSIA AVE,Intersection,2016-03-10T15:35:52.000,Treatment,No,
24114000,Bartlett St: 21st St Intersection,100,BARTLETT ST,Intersection,2016-06-21T08:57:47.000,Treatment,No,
22947000,Vicente St: Forest Side Ave Intersection,100,VICENTE ST,Intersection,2016-05-13T12:19:51.000,Treatment,No,
25963000,Turk St: Gough St Intersection,100,TURK ST,Intersection,2016-03-18T16:32:35.000,Treatment,No,
22419000,Teresita Blvd: Fowler Ave Intersection,100,TERESITA BLVD,Intersection,2016-06-27T09:28:44.000,Treatment,No,
21645000,NAPLES ST,100,PERSIA AVE,Intersection,2016-03-16T08:09:22.000,Treatment,No,
22982000,Quintara St: 10th Ave Intersection,100,QUINTARA ST,Intersection,2016-04-18T14:44:02.000,Treatment,No,
20153000,Quesada Ave: Jennings St Intersection,100,QUESADA AVE,Intersection,2016-11-14T11:18:18.000,Treatment,No,
23730000,Utah St: 23rd St Intersection,100,UTAH ST,Intersection,2016-10-14T10:08:51.000,Treatment,No,
22422000,Chaves Ave: Agua Way Intersection,100,CHAVES AVE,Intersection,2016-10-03T11:10:02.000,Treatment,No,
27286000,Clement St: 06th Ave Intersection,100,CLEMENT ST,Intersection,2016-11-15T16:36:16.000,Treatment,No,
25942000,Gough St: Golden Gate Ave Intersection,100,GOUGH ST,Intersection,2016-03-18T16:32:35.000,Treatment,No,
115001,DELANCEY ST,60,END,FEDERAL ST,1997-09-09T00:00:00.000,Survey,Yes,
33023000,Chula Ln: Abbey St Intersection,100,CHULA LN,Intersection,2016-06-10T11:27:27.000,Treatment,No,
26108000,Graystone Ter: Corbett Ave Intersection,100,GRAYSTONE TER,Intersection,2016-07-21T07:36:04.000,Treatment,No,
22410000,Teresita Blvd: Marietta Dr Intersection,100,TERESITA BLVD,Intersection,2016-06-27T09:31:43.000,Treatment,No,
32975000,Corbett Ave: 23rd St Intersection,100,CORBETT AVE,Intersection,2016-07-21T07:33:25.000,Treatment,No,
22307000,Teresita Blvd: Arroyo Way Intersection,100,TERESITA BLVD,Intersection,2016-06-27T09:04:19.000,Treatment,No,
25683000,Dolores St: 19th St Intersection,100,DOLORES ST,Intersection,2016-06-10T11:25:38.000,Treatment,No,
32943000,Glendale St: Corbett Ave Intersection,100,GLENDALE ST,Intersection,2016-07-21T07:36:05.000,Treatment,No,
33011000,Teresita Blvd: Edna St Intersection,100,TERESITA BLVD,Intersection,2016-06-27T09:18:17.000,Treatment,No,
20369000,Schwerin St: Garrison Ave Intersection,100,SCHWERIN ST,Intersection,2016-02-19T13:57:58.000,Treatment,No,
22409000,Teresita Blvd: Agua Way Intersection,100,TERESITA BLVD,Intersection,2016-06-27T09:00:47.000,Treatment,No,
21395000,Munich St: Cordova St Intersection,100,MUNICH ST,Intersection,2016-07-12T15:06:31.000,Treatment,No,
26507000,Pine St: Gough St Intersection,100,PINE ST,Intersection,2016-03-04T11:54:22.000,Treatment,No,
13440000,Washington St,100,Fillmore St,Steiner St,2018-12-27T08:10:52.000,Treatment,Yes,Residential
8170000,Laurel St,98,Jackson St,Washington St,2018-06-06T13:44:45.000,Treatment,Yes,Residential
5440000,Fell St,86,Van Ness Ave,Franklin St,2019-09-29T09:24:53.000,Survey,Yes,Arterial
1159000,22nd St,100,03rd St,Tennessee St,2018-08-03T12:35:13.000,Treatment,Yes,Residential
7110000,Huron Ave,100,Lawrence Ave,Sickles Ave,2018-12-27T09:36:27.000,Treatment,Yes,Residential
532000,12th Ave,100,Moraga St,Noriega St,2020-01-21T11:19:53.000,Treatment,Yes,Residential
10291000,Parnassus Ave,66,Willard St,Hill Point Ave,2019-10-26T09:38:03.000,Survey,Yes,Arterial
5683000,Folsom St,79,11th St,Norfolk St,2019-08-30T15:30:57.000,Survey,Yes,Arterial
2774000,Bay St,84,Stockton St,Powell St,2019-08-24T09:19:59.000,Survey,Yes,Arterial
13696000,Wisconsin St,49,22nd St,Madera St,2019-10-19T09:47:06.000,Survey,Yes,Residential
4310000,Commer Ct,43,End,Garlington Ct,2019-09-01T09:23:15.000,Survey,Yes,Residential
27129000,12th Ave: Moraga St Intersection,100,MORAGA ST,Intersection,2020-01-21T11:20:08.000,Treatment,No,
1232000,23rd St,62,End,Illinois St,2019-10-27T09:18:45.000,Survey,Yes,Residential
4179000,Clement St,100,29th Ave,30th Ave,2020-01-22T15:19:15.000,Treatment,Yes,Residential
7247000,Ingerson Ave,68,Griffith St,Coronado St,2019-10-12T09:15:44.000,Survey,Yes,Residential
10147000,Pacific Ave,65,Polk St,Van Ness Ave,2019-09-29T09:37:36.000,Survey,Yes,Residential
5190000,Ellis St,85,Scott St,Beideman St,2019-10-13T09:24:38.000,Survey,Yes,Residential
9024000,Miguel St,88,Laidley St,Chenery St \ Whitney St,2019-08-30T15:39:39.000,Survey,Yes,Residential
12204000,Stockton St,57,Sacramento St \ Stockton Tunl,Clay St,2019-10-06T09:42:43.000,Survey,Yes,Arterial
2824201,Bay Shore Blvd,81,Arleta Ave \ San Bruno Ave,Raymond Ave,2019-09-01T09:20:05.000,Survey,Yes,Arterial
27360000,17th Ave: Irving St Intersection,100,IRVING ST,Intersection,2019-01-09T16:01:28.000,Treatment,No,
1643000,30th Ave,87,Anza St,Balboa St,2019-08-30T15:08:06.000,Survey,Yes,Residential
7290000,Irving St,100,Funston Ave,14th Ave,2019-01-09T16:01:28.000,Treatment,Yes,Collector
8827000,Mason St,64,Union St,Kent St,2019-08-25T09:34:44.000,Survey,Yes,Collector
2324000,Anza St,92,07th Ave,08th Ave,2019-08-30T15:10:21.000,Survey,Yes,Residential
7293000,Irving St,100,16th Ave,17th Ave,2019-01-09T16:01:28.000,Treatment,Yes,Collector
8566000,Lyon St,86,Sutter St,Bush St,2018-06-06T13:44:45.000,Treatment,Yes,Residential
3452000,Bush St,81,Cottage Row,Fillmore St,2019-10-26T09:21:28.000,Survey,Yes,Arterial
6064101,Geary Blvd,79,08th Ave,09th Ave,2019-08-30T15:32:15.000,Survey,Yes,Arterial
12065000,Spruce St,88,Geary Blvd,Anza St,2019-08-30T15:43:37.000,Survey,Yes,Residential
4946000,Douglass St,90,Carson St,Seward St,2019-08-30T15:29:13.000,Survey,Yes,Residential
6567000,Grove St,47,Lyon St,Central Ave,2019-09-28T09:28:27.000,Survey,Yes,Residential
11968000,Somerset St,100,Felton St,Burrows St,2020-01-22T15:20:28.000,Treatment,Yes,Residential
3431000,Bush St,86,Grant Ave,Chatham Pl,2019-09-02T09:21:18.000,Survey,Yes,Arterial
10948000,Reardon Rd,84,Kiska Rd,End,2019-08-31T09:40:06.000,Survey,Yes,Residential
224101,03rd St,82,Bancroft Ave,Carroll Ave,2019-08-31T09:17:22.000,Survey,Yes,Arterial
6824000,Hayes St,100,Scott St,Divisadero St,2018-04-06T11:48:02.000,Treatment,Yes,Collector
5610000,Flood Ave,86,Gennessee St,Phelan Ave,2016-06-07T07:45:11.000,Treatment,Yes,Residential
27357000,15th Ave: Irving St Intersection,100,IRVING ST,Intersection,2019-01-09T16:01:28.000,Treatment,No,
13030000,Urbano Dr,100,Borica St,Corona St,2018-07-03T08:42:49.000,Treatment,Yes,Residential
5962000,Funston Ave,100,Anza St,Balboa St,2020-01-22T15:20:28.000,Treatment,Yes,Collector
6826000,Hayes St,100,Broderick St,Baker St,2018-04-06T11:49:19.000,Treatment,Yes,Collector
5961000,Funston Ave,100,Geary Blvd,Anza St,2020-01-22T15:20:28.000,Treatment,Yes,Collector
3762202,Cashmere St,59,Dukes Ct,La Salle Ave,2019-09-28T09:22:12.000,Survey,Yes,Residential
7291000,Irving St,100,14th Ave,15th Ave,2019-01-09T16:01:28.000,Treatment,Yes,Collector
9058000,Minnesota St,39,23rd St,24th St,2019-10-27T09:16:35.000,Survey,Yes,Residential
27171000,12th Ave: Irving St Intersection,100,IRVING ST,Intersection,2019-01-09T15:59:54.000,Treatment,No,
10180000,Page St,76,Broderick St,Baker St,2019-09-08T09:37:41.000,Survey,Yes,Residential
6507002,Greenwich St,95,End,Larkin St,2017-10-10T12:16:16.000,Survey,Yes,Residential
11969000,Somerset St,100,Burrows St,Bacon St,2020-01-22T15:20:28.000,Treatment,Yes,Residential
7729000,Kansas St,100,Mariposa St,18th St,2020-01-29T15:27:24.000,Treatment,Yes,Residential
27371000,18th Ave: Irving St Intersection,100,IRVING ST,Intersection,2019-01-09T16:01:28.000,Treatment,No,
7289000,Irving St,100,12th Ave,Funston Ave,2019-01-09T15:59:55.000,Treatment,Yes,Collector
13545000,Webster St,90,California St,Sacramento St,2018-12-07T08:30:56.000,Treatment,Yes,Residential
27170000,11th Ave: Irving St Intersection,100,IRVING ST,Intersection,2019-01-09T15:59:54.000,Treatment,No,
13310000,Vinton Ct,56,Grant Ave,End,2019-10-26T09:45:50.000,Survey,Yes,Residential
7496000,Jerrold Ave,84,Mendell St,03rd St \ Newhall St,2019-09-01T09:30:50.000,Survey,Yes,Residential
640000,15th St,100,Potrero Ave,Hampshire St,2020-01-29T10:46:32.000,Treatment,Yes,Residential
4798201,Divisadero St,47,Castro St \ Waller St,Haight St,2019-10-13T09:23:52.000,Survey,Yes,Arterial
2887000,Belgrave Ave,81,Shrader St,Stanyan St,2019-10-26T09:20:17.000,Survey,Yes,Residential
13516000,Wayne Pl,80,Pacific Ave,End,2019-10-05T09:46:29.000,Survey,Yes,Residential
7372000,Jackson St,83,Beckett St,Grant Ave,2019-10-05T09:30:15.000,Survey,Yes,Residential
6276000,Golden Gate Ave,62,Divisadero St,Broderick St,2019-08-25T09:27:13.000,Survey,Yes,Arterial
7294000,Irving St,100,17th Ave,18th Ave,2019-01-09T16:01:28.000,Treatment,Yes,Collector
4812102,Divisadero St,85,Garden St,Post St,2019-10-26T09:24:06.000,Survey,Yes,Arterial
12460000,Taylor St,86,Chestnut St \ Columbus Ave,Water St,2019-10-05T09:43:48.000,Survey,Yes,Residential
23760000,19th St: Kansas St Intersection,100,KANSAS ST,Intersection,2020-01-29T15:27:24.000,Treatment,No,
5057000,Eddy St,100,Powell St,Cyril Magnin St,2016-10-11T12:51:09.000,Survey,Yes,Residential
4015000,Church St,67,Dorland St,18th St,2019-08-30T15:15:36.000,Survey,Yes,Collector
6430000,Graystone Ter,56,Copper Aly,Corbett Ave,2019-08-30T15:33:47.000,Survey,Yes,Residential
5442000,Fell St,84,Gough St,Octavia St,2019-09-28T09:16:11.000,Survey,Yes,Arterial
7287000,Irving St,100,10th Ave,11th Ave,2019-01-09T15:59:55.000,Treatment,Yes,Collector
23862000,Alameda St: Henry Adams St Intersection,100,HENRY ADAMS ST,Intersection,2020-01-29T10:46:32.000,Treatment,No,
13209000,Vermont St,100,Alameda St,15th St,2020-01-29T15:27:24.000,Treatment,Yes,Collector
8834000,Mason St,86,Chestnut St,Water St,2019-10-05T09:34:47.000,Survey,Yes,Residential
4347000,Connecticut St,100,18th St,19th St,2020-01-29T15:27:24.000,Treatment,Yes,Residential
8334000,Lily St,84,Franklin St,Gough St,2019-09-29T09:33:20.000,Survey,Yes,Residential
8742201,Market St,85,01st St \ Bush St,Battery St,2019-08-25T09:34:19.000,Survey,Yes,Arterial
4630000,De Haro St,100,16th St,17th St,2020-01-29T15:27:24.000,Treatment,Yes,Collector
13210000,Vermont St,100,15th St,16th St,2020-01-29T15:27:24.000,Treatment,Yes,Collector
3272000,Brussels St,83,Ward St,Harkness Ave,2019-09-01T09:20:56.000,Survey,Yes,Residential
27359000,16th Ave: Irving St Intersection,100,IRVING ST,Intersection,2019-01-09T16:01:28.000,Treatment,No,
7200000,Indiana St,40,26th St,Cesar Chavez St,2019-10-27T09:29:46.000,Survey,Yes,Collector
13319000,Visitacion Ave,85,End,Bay Shore Blvd,2019-09-01T09:45:50.000,Survey,Yes,Residential
13193000,Velasco Ave,79,Calgary St \ Sawyer St,Pueblo St,2019-09-01T09:45:42.000,Survey,Yes,Residential
4756000,Diamond St,49,29th St,Beacon St,2019-08-30T15:19:25.000,Survey,Yes,Residential
27174000,14th Ave: Irving St Intersection,100,IRVING ST,Intersection,2019-01-09T16:01:28.000,Treatment,No,
11430000,San Jose Ave,90,24th St,25th St,2019-08-30T15:42:36.000,Survey,Yes,Residential
7288000,Irving St,100,11th Ave,12th Ave,2019-01-09T15:59:55.000,Treatment,Yes,Collector
7292000,Irving St,100,15th Ave,16th Ave,2019-01-09T16:01:28.000,Treatment,Yes,Collector
2467000,Cesar Chavez St,48,Illinois St,03rd St,2019-08-24T09:22:21.000,Survey,Yes,Residential
4370000,Cora St,77,Visitacion Ave,Sunnydale Ave \ Tomaso Ct,2019-09-01T09:23:24.000,Survey,Yes,Residential
7295000,Irving St,100,18th Ave,19th Ave,2019-01-09T16:01:28.000,Treatment,Yes,Collector
2211000,Alpha St,80,Tioga Ave,Tucker Ave,2019-09-01T09:19:13.000,Survey,Yes,Residential
7529000,John St,98,Powell St,Mason St,2019-10-13T09:30:52.000,Survey,Yes,Residential
9031001,Milton St,92,San Jose Ave,Glen Ct,2019-08-30T14:58:05.000,Survey,Yes,Residential
23743000,18th St: De Haro St Intersection,100,DE HARO ST,Intersection,2020-01-29T15:19:06.000,Treatment,No,
23761000,20th St: Kansas St Intersection,100,KANSAS ST,Intersection,2020-01-29T15:27:24.000,Treatment,No,
10698000,Powell St,51,Filbert St,Greenwich St,2019-10-05T09:39:39.000,Survey,Yes,Residential
3695000,Carl St,90,Cole St,Shrader St,2019-10-20T09:21:51.000,Survey,Yes,Collector
8294000,Leland Ave,85,Alpha St,Peabody St,2019-09-01T09:33:13.000,Survey,Yes,Residential
4405000,Cornwall St,84,02nd Ave,03rd Ave,2019-08-30T15:17:16.000,Survey,Yes,Residential
8732000,Mariposa St,50,York St,Bryant St,2019-10-27T09:34:16.000,Survey,Yes,Residential
12158001,Steuart St,83,Market St,Don Chee Way,2019-08-25T09:15:06.000,Survey,Yes,Collector
7584000,Jones St,71,Pacific Ave,Bernard St,2019-08-25T09:31:03.000,Survey,Yes,Residential
8955000,Mendell St,85,Newhall St,Evans Ave,2019-09-01T09:35:14.000,Survey,Yes,Residential
3969000,Chestnut St,100,Polk St,Van Ness Ave,2018-04-24T16:27:28.000,Treatment,Yes,Collector
12852000,Union St,56,Mason St,Taylor St,2019-08-24T09:45:07.000,Survey,Yes,Collector
3499000,Cabrillo St,88,32nd Ave,33rd Ave,2019-08-30T15:13:42.000,Survey,Yes,Residential
2656000,Balboa St,93,12th Ave,Funston Ave,2019-08-30T15:11:13.000,Survey,Yes,Arterial
3761101,Cashmere St,83,Hudson Ave,Hillview Ct,2019-09-01T09:22:09.000,Survey,Yes,Residential
6241000,Goettingen St,39,Mansell St,End,2019-10-20T09:27:02.000,Survey,Yes,Residential
4911000,Donner Ave,85,Phelps St,Bay Shore Blvd,2019-10-12T09:15:33.000,Survey,Yes,Residential
12198000,Stockton St,60,Post St,Campton Pl,2019-10-06T09:42:39.000,Survey,Yes,Arterial
